2025-04-08 23:58:03 - luong : 3220
2025-04-08 23:58:03 - luong : 3230
2025-04-08 23:58:03 - luong : 3240
2025-04-08 23:58:03 - luong : 3250
2025-04-08 23:58:04 - luong : 3260
2025-04-08 23:58:05 - luong : 3270
2025-04-08 23:58:08 - luong : 3280
2025-04-08 23:58:08 - luong : 3290
2025-04-08 23:58:08 - luong : 3300
2025-04-08 23:58:09 - luong : 3310
2025-04-08 23:58:09 - luong : 3320
2025-04-08 23:58:09 - luong : 3330
2025-04-08 23:58:09 - luong : 3340
2025-04-08 23:58:09 - luong : 3350
2025-04-08 23:58:09 - luong : 3360
2025-04-08 23:58:10 - luong : 3370
2025-04-08 23:58:10 - luong : 3380
2025-04-08 23:58:10 - luong : 3390
2025-04-08 23:58:10 - luong : 3400
2025-04-08 23:58:11 - luong : 3410
2025-04-08 23:58:11 - luong : 3420
2025-04-08 23:58:11 - luong : 3430
2025-04-08 23:58:12 - luong : 3440
2025-04-08 23:58:12 - luong : 3450
2025-04-08 23:58:12 - luong : 3460
2025-04-08 23:58:12 - luong : 3470
2025-04-08 23:58:12 - luong : 3480
2025-04-08 23:58:13 - luong : 3490
2025-04-08 23:58:13 - luong : 3500
2025-04-08 23:58:13 - luong : 3510
2025-04-08 23:58:13 - luong : 3520
2025-04-08 23:58:13 - luong : 3530
2025-04-08 23:58:13 - luong : 3540
2025-04-08 23:58:14 - luong : 3550
2025-04-08 23:58:14 - luong : 3560
2025-04-08 23:58:15 - luong : 3570
2025-04-08 23:58:15 - luong : 3580
2025-04-08 23:58:15 - luong : 3590
2025-04-08 23:58:15 - luong : 3600
2025-04-08 23:58:16 - luong : 3610
2025-04-08 23:58:16 - luong : 3620
2025-04-08 23:58:16 - luong : 3630
2025-04-08 23:58:16 - luong : 3640
2025-04-08 23:58:17 - luong : 3650
2025-04-08 23:58:17 - luong : 3660
2025-04-08 23:58:17 - luong : 3670
2025-04-08 23:58:17 - luong : 3680
2025-04-08 23:58:18 - luong : 3690
2025-04-08 23:58:18 - luong : 3700
2025-04-08 23:58:18 - luong : 3710
2025-04-08 23:58:19 - luong : 3720
2025-04-08 23:58:19 - luong : 3730
2025-04-08 23:58:19 - luong : 3740
2025-04-08 23:58:19 - luong : 3750
2025-04-08 23:58:19 - luong : 3760
2025-04-08 23:58:20 - luong : 3770
2025-04-08 23:58:20 - luong : 3780
2025-04-08 23:58:20 - luong : 3790
2025-04-08 23:58:20 - luong : 3800
2025-04-08 23:58:20 - luong : 3810
2025-04-08 23:58:20 - luong : 3820
2025-04-08 23:58:21 - luong : 3830
2025-04-08 23:58:21 - luong : 3840
2025-04-08 23:58:21 - luong : 3850
2025-04-08 23:58:21 - luong : 3860
2025-04-08 23:58:22 - luong : 3870
2025-04-08 23:58:22 - luong : 3880
2025-04-08 23:58:22 - luong : 3890
2025-04-08 23:58:23 - luong : 3900
2025-04-08 23:58:23 - luong : 3910
2025-04-08 23:58:24 - luong : 3920
2025-04-08 23:58:24 - luong : 3930
2025-04-08 23:58:24 - luong : 3940
2025-04-08 23:58:40 - luong : 3950
2025-04-08 23:58:40 - luong : 3960
2025-04-08 23:58:41 - luong : 3970
